EC21103,INTRODUCTION TO ELECTRONICS,NR121,15EE10037-15EE10060,D
EC21103,INTRODUCTION TO ELECTRONICS,NR122,15EE10061-15EE30020,D
EC21103,INTRODUCTION TO ELECTRONICS,NR321,15EE30021-15IE10022,D
EC21103,INTRODUCTION TO ELECTRONICS,NR322,15IE10023-15QE30007,D
EC60291,ARCHITECTURAL DESIGN OF ICS,F232,11EC33005-13EC10046,D
Subject,Subject Name,Room No,Subdivision,Sitting Pattern
No,,,,
EC60291,ARCHITECTURAL DESIGN OF ICS,NC141,13EC10055-13EC32012,H
EC60291,ARCHITECTURAL DESIGN OF ICS,NC142,13IE10028-16EC62R19,G
EC60291,ARCHITECTURAL DESIGN OF ICS,NC241,16EC62R20-16EC65R02,G
EC60291,ARCHITECTURAL DESIGN OF ICS,NR322,16EC65R05-16EC91R04,H
EE31009,CONTROL SYSTEM ENGINEERING,V1,10EC10035-14EC10034,C
EE31009,CONTROL SYSTEM ENGINEERING,V2,14EC10035-14EC30013,C
EE31009,CONTROL SYSTEM ENGINEERING,F116,14EC30014-14EC30043,C
EE31009,CONTROL SYSTEM ENGINEERING,F142,14EC30044-14EE10026,C
EE31009,CONTROL SYSTEM ENGINEERING,S301,14EE10027-14EE30012,C
EE31009,CONTROL SYSTEM ENGINEERING,S302,14EE30013-14IE10030,C
EE31009,CONTROL SYSTEM ENGINEERING,NR121,14IE10031-14QM30006,B
EE41001,INDUSTRIAL INSTRUMENTATION,V3,11EE35025-13EE10012,C
EE41001,INDUSTRIAL INSTRUMENTATION,V4,13EE10013-13EE10028,C
EE41001,INDUSTRIAL INSTRUMENTATION,NR222,13EE10029-13EE10053,G
EE41001,INDUSTRIAL INSTRUMENTATION,NR321,13EE10055-13EE35006,G
EE41001,INDUSTRIAL INSTRUMENTATION,NR322,13EE35007-13EE35026,E
HS20003,STATISTICS FOR ECONOMICS,NR223,15HS20001-15HS20013,A
HS20003,STATISTICS FOR ECONOMICS,NR224,15HS20014-15HS20024,G
HS20003,STATISTICS FOR ECONOMICS,NR124,15HS20025-15HS20037,A
HS20003,STATISTICS FOR ECONOMICS,NR123,15HS20038-15HS20047,A
HS30085,INDIAN ECONOMY,NC242,11HS20013-14BT30019,B
HS30085,INDIAN ECONOMY,NC243,14HS20002-14HS20018,B
HS30085,INDIAN ECONOMY,NC244,14HS20019-14HS20033,B
HS30085,INDIAN ECONOMY,NR223,14HS20034-14HS20044,G
IM31008,LOGISTICS AND SUPPLY CHAIN MANAGEMENT,NC141,11IM30002-14IM10006,B
IM31008,LOGISTICS AND SUPPLY CHAIN MANAGEMENT,NC142,14IM10007-14IM10023,B
IM31008,LOGISTICS AND SUPPLY CHAIN MANAGEMENT,NC241,14IM10024-14IM30007,B
IM31008,LOGISTICS AND SUPPLY CHAIN MANAGEMENT,NR124,14IM30008-14IM3FP12,H
IP60107,CONSTITUTIONAL LAW - I,NC243,12AE30016-16IP63009,D
IP60107,CONSTITUTIONAL LAW - I,NC244,16IP63010-16IP63024,D
IP60107,CONSTITUTIONAL LAW - I,NR223,16IP63025-16IP63036,F
IP61013,FAMILY LAW II,F232,14IP60001-14IP60017,G
Subject,Subject Name,Room No,Subdivision,Sitting Pattern
No,,,,
IP61013,FAMILY LAW II,NC243,14IP60018-14IP60032,H
IP61013,FAMILY LAW II,NC244,14IP60033-15IP61006,H
IP61013,FAMILY LAW II,NR123,15IP61007-15IP61028,G
IP61013,FAMILY LAW II,NC341,15IP61029-15IP61050,G
ME20001,DYNAMICS,V2,11ME10029-15ME10018,G
ME20001,DYNAMICS,F116,15ME10019-15ME10045,D
ME20001,DYNAMICS,F142,15ME10046-15ME10072,D
ME20001,DYNAMICS,S302,15ME10073-15ME30034,D
ME20001,DYNAMICS,NR221,15ME30035-15ME30055,B
ME20001,DYNAMICS,NR222,15ME30056-15MF10006,B
ME20001,DYNAMICS,NR121,15MF10007-15MF10033,C
ME20001,DYNAMICS,NR122,15MF10034-15QM30006,B
ME31013,MECHANICS OF SOLIDS,V4,12ME10021-13MF10013,A
